Nps,Nps-Attribution-Category,Total-Customers
1,F1F03857-1E39-A2FA-FE63-B2A54DD9CF8E,11269
10,21C7957E-23CA-BAC9-A7B2-24B83F478A75,2830
9,E01A7056-D0F9-5365-4FD3-2D790CA3C763,11114
2,84C6ADB0-09E7-5330-2DFD-E8A27FFEC358,4912
7,C4284C15-5EA5-9384-3EEC-FCB94E58555C,8248
1,F95DF01F-509E-7617-498A-5CE0E21F56FE,10375
3,A4368DDA-A3F7-E17C-F15F-26D6EAD46D66,902
4,0360954E-9C69-7FD1-293A-9274D0F8E711,2823
3,88457044-E4ED-00EF-F4F1-298B5DD6AC5D,7864
7,C8D4B0C6-87CF-6DB8-0999-A04638F31184,6161
7,300C53D7-CECD-52DB-D246-3405173C2079,3607
8,BF29CE45-7F74-FF1C-CEBD-6A15659F8A44,5150
8,5186F66B-4C7A-BA73-3E9E-68B162410D87,9836
2,18A6AC12-510E-9487-17C0-CBEE6C1A2B73,9487
2,F90B67F9-BE63-0942-5B17-7243ACD1EEA3,5751
5,1A23A324-0C3A-CEE9-7D3F-2BFDCBB4765D,4894
7,74F3DF2C-3626-A57D-A242-359DBB29B4FC,2524
1,09959825-E111-4B6B-07EA-C3886C5767CD,2548
4,2E42042B-6EEE-305B-D179-155E33BDF6D3,9845
6,5BCE3E6C-1B15-5EE0-2A40-8F5C8718F9BC,1011
6,147173C2-ADC3-A633-1717-D551FB9C9267,7714
3,46BFCC90-C857-7E48-1FAC-DA981722FE99,7118
2,63E5520B-5725-BD02-EE1E-7C5ED925AB34,6701
10,12255B10-8ACB-520A-FC89-8354DB142FB5,6133
7,1B0A164F-188D-31F9-B050-43370DE307C1,9303
9,A4F0B428-5529-6575-CF5C-6E68CBD98F77,1044
1,817AC4E6-0821-2300-3A09-F1CA30C93BD5,508
6,464142FD-EB8F-0BBC-E5E8-6D35C520FE22,7954
2,E342B5D6-D4ED-617D-0BE9-34977DE5E03C,5176
8,32E48DE2-5806-CA92-DADC-A43034B4CD9C,10341
8,CAD2C341-3434-F1A9-B86F-2A2A767D5DDE,5611
8,B39E3F2A-846B-D68B-404C-D84495CACD65,6699
8,556CC187-EB91-4D84-5DCB-96A7D19C21A4,8862
9,CFEF2A4D-10CF-16E0-DFFF-C0D27496F5BD,8900
3,D3B031BE-8D4E-FF50-C877-210239707EF4,467
10,45D93FCD-766D-49C4-551A-0C00702770ED,3449
4,10174560-8F23-1338-3B79-687A55497E63,6221
9,C5F80F93-FDB3-9907-78A9-45552F3A506F,7001
5,F140424D-A31C-8A58-120D-E2CA79A58114,6025
6,DC72D8E9-7DD4-BAC6-20CC-FE8D4B6D9772,1860
