Influencer,Amplification,Program,X
Azalia,182,2,4
Kyra,146,10,3
Justine,154,3,5
Tatum,168,5,6
Boris,185,1,4
Silas,180,1,5
Merrill,172,1,3
Aiko,146,1,2
Tobias,151,6,1
Amethyst,155,12,2
Keane,187,10,2
Cruz,145,8,4
Lee,172,7,4
Lester,174,10,6
Amos,179,11,7
Emerald,154,5,1
Shellie,158,12,3
Jared,175,1,7
Gloria,167,11,2
Donna,184,11,6
Jamal,188,7,5
Marvin,167,3,3
Bethany,154,10,5
Brendan,155,5,1
Jesse,150,10,3
Addison,148,6,3
Rigel,157,4,4
Rina,161,6,4
Mufutau,161,7,6
Cadman,186,9,1
Amery,150,6,3
Sopoline,185,6,5
Cairo,162,3,6
Tana,184,4,3
Emerson,162,6,5
Quin,181,5,7
Paula,180,9,4
Ishmael,184,8,1
Victor,189,8,3
Quamar,161,9,5
Kylie,170,4,1
Anastasia,162,1,2
Ivy,184,6,5
Dennis,185,8,6
Sage,167,11,6
Silas,186,8,3
Pascale,150,12,3
Nash,157,1,2
Omar,165,4,4
Marvin,156,11,2
Quemby,177,6,3
Veronica,163,2,2
Mufutau,184,2,5
Willa,161,8,5
Kimberley,175,3,7
Ivor,170,7,2
Alfreda,152,4,6
Stone,167,3,1
Sopoline,164,10,3
Haviva,169,3,4
